Subject,Course Number,Course Title,Requirement
CLASSIC,39D,"Utopia, Dystopia",Arts and Literature
CLASSIC,R44,Roots of Western Civilization,Arts and Literature
CLASSIC,161,"Gender, Sexuality, and Culture in the Ancient World",Arts and Literature
CLASSIC,170A,Classical Archaeology: Greek Vase Painting,Arts and Literature
CLASSIC,170D,Classical Archaeology: Roman Art and Architecture,Arts and Literature
CLASSIC,175D,Topography and Monuments: Pompeii and Herculaneum,Arts and Literature
CLASSIC,175F,Topography and Monuments: Roman Wall Painting,Arts and Literature
COLWRIT,N2,Writing the Bridge: From High School to the University,Arts and Literature
COLWRIT,105,Intermediate Writing: Finding Your Voice with Others,Arts and Literature
COLWRIT,106,Intermediate Composition: Argument in the Disciplines,Arts and Literature
COLWRIT,108,Advanced Composition: New Media,Arts and Literature
COLWRIT,110,Advanced Composition: Challenging Writing,Arts and Literature
COLWRIT,180,Travel Writing,Arts and Literature
COLWRIT,181,Global London,Arts and Literature
COMLIT,20,Episodes in Literary Cultures,Arts and Literature
COMLIT,N40,Women and Literature,Arts and Literature
COMLIT,N41,Introduction to Literary Forms,Arts and Literature
COMLIT,41A,Introduction to Literary Forms: Forms of the Epic,Arts and Literature
COMLIT,N41A,Introduction to Literary Forms: The Epic,Arts and Literature
COMLIT,N41B,Introduction to Literary Forms: The Lyric,Arts and Literature
COMLIT,41C,Introduction to Literary Forms: Forms of the Novel,Arts and Literature
COMLIT,N41C,Introduction to Literary Forms: The Novel,Arts and Literature
COMLIT,41D,Introduction to Literary Forms: Forms of the Drama,Arts and Literature
COMLIT,N41D,Introduction to Literary Forms: The Drama,Arts and Literature
COMLIT,41E,Introduction to Literary Forms: Forms of the Cinema,Arts and Literature
COMLIT,50,Creative Writing in Comparative Literature,Arts and Literature
COMLIT,60AC,Topics in the Literature of American Cultures,Arts and Literature
COMLIT,N60AC,Topics in the Literature of American Cultures,Arts and Literature
COMLIT,100,Introduction to Comparative Literature,Arts and Literature
COMLIT,112A,Modern Greek Language and Modern Greek Composition,Arts and Literature
COMLIT,112B,Modern Greek Language and Modern Greek Composition,Arts and Literature
COMLIT,120,The Biblical Tradition in Western Literature,Arts and Literature
COMLIT,151,The Ancient Mediterranean World,Arts and Literature
COMLIT,152,The Middle Ages,Arts and Literature
COMLIT,153,The Renaissance,Arts and Literature
COMLIT,154,Eighteenth- and 19th-Century Literature,Arts and Literature
COMLIT,155,The Modern Period,Arts and Literature
COMLIT,156,Fiction and Culture of the Americas,Arts and Literature
COMLIT,165,Myth and Literature,Arts and Literature
COMLIT,171,Topics in Modern Greek Literature,Arts and Literature
COMLIT,190,Senior Seminar in Comparative Literature (through summer 2017),Arts and Literature
DUTCH,177,"The Amsterdam-Brussels Connection: The Art, History, and Literature of the Netherlands and Flanders",Arts and Literature
EALANG,101,"Catastrophe, Memory, and Narrative: Comparative Responses to Atrocity in the Twentieth Century",Arts and Literature
EALANG,103,"Writing, Visuality, and the Powers of Images",Arts and Literature
EALANG,105,Dynamics of Romantic Core Values in East Asian Premodern Literature and Contemporary Film,Arts and Literature
EALANG,106,Expressing the Ineffable in China and Beyond: The Making of Meaning in Poetic Writing,Arts and Literature
EALANG,107,"War, Empire, and Literature in East Asia",Arts and Literature
EALANG,108,Revising the Classics: Chinese and Greek Poetry in Translation,Arts and Literature
EALANG,111,Reading Global Politics in Contemporary East Asian Literature,Arts and Literature
EALANG,112,The East Asian Sixties,Arts and Literature
EALANG,114,"Illness Narratives, Vulnerable Bodies",Arts and Literature
EALANG,118,Sex and Gender in Premodern Chinese Culture,Arts and Literature
EALANG,C120,Buddhism on the Silk Road,Arts and Literature
EALANG,181,East Asian Film: Special Topics in Genre,Arts and Literature
ENGLISH,17,Shakespeare,Arts and Literature
ENGLISH,20,Modern British and American Literature,Arts and Literature
ENGLISH,26,Introduction to the Study of Poetry,Arts and Literature
ENGLISH,27,Introduction to the Study of Fiction,Arts and Literature
ENGLISH,28,Introduction to the Study of Drama,Arts and Literature
ENGLISH,31AC,Literature of American Cultures,Arts and Literature
ENGLISH,33,African American Literature and Culture,Arts and Literature
ENGLISH,37,Chicana/o Literature and Culture,Arts and Literature
ENGLISH,43A,Introduction to the Writing of Short Fiction,Arts and Literature
ENGLISH,43B,Introduction to the Writing of Verse,Arts and Literature
ENGLISH,45A,Literature in English: Through Milton,Arts and Literature
ENGLISH,N45A,Literature in English,Arts and Literature
ENGLISH,45B,Literature in English: The Late-17th through the Mid-19th Century,Arts and Literature
ENGLISH,N45B,Literature in English,Arts and Literature
ENGLISH,45C,Literature in English: The Mid-19th through the 20th Century,Arts and Literature
ENGLISH,N45C,Literature in English,Arts and Literature
ENGLISH,C77,Introduction to Environmental Studies,Arts and Literature
ENGLISH,80K,Children's Literature,Arts and Literature
ENGLISH,101,The History of the English Language,Arts and Literature
ENGLISH,104,Introduction to Old English,Arts and Literature
ENGLISH,105,Anglo-Saxon England,Arts and Literature
ENGLISH,C107,The English Bible As Literature,Arts and Literature
ENGLISH,N107,English Bible as Literature,Arts and Literature
ENGLISH,110,Medieval Literature,Arts and Literature
ENGLISH,111,Chaucer,Arts and Literature
ENGLISH,112,Middle English Literature,Arts and Literature
ENGLISH,114A,English Drama,Arts and Literature
ENGLISH,N114A,English Drama,Arts and Literature
ENGLISH,114B,English Drama,Arts and Literature
ENGLISH,N114B,English Drama,Arts and Literature
ENGLISH,115A,The English Renaissance,Arts and Literature
ENGLISH,115B,The English Renaissance,Arts and Literature
ENGLISH,N115A,The English Renaissance,Arts and Literature
ENGLISH,N115B,The English Renaissance,Arts and Literature
ENGLISH,116,Backgrounds of English Literature in the Continental Renaissance,Arts and Literature
ENGLISH,117A,Shakespeare,Arts and Literature
ENGLISH,117B,Shakespeare,Arts and Literature
ENGLISH,117F,Shakespeare and Film,Arts and Literature
ENGLISH,117J,Shakespeare,Arts and Literature
ENGLISH,117S,Shakespeare,Arts and Literature
ENGLISH,N117S,Shakespeare,Arts and Literature
ENGLISH,117T,Shakespeare in the Theatre,Arts and Literature
ENGLISH,118,Milton,Arts and Literature
ENGLISH,N118,Milton,Arts and Literature
ENGLISH,119,Literature of the Restoration and Early Eighteenth Century,Arts and Literature
ENGLISH,120,Literature of the Later 18th Century,Arts and Literature
ENGLISH,121,Romantic Period,Arts and Literature
ENGLISH,N121,Romantic Period,Arts and Literature
ENGLISH,122,Victorian Period,Arts and Literature
ENGLISH,125A,The English Novel,Arts and Literature
ENGLISH,125B,The English Novel,Arts and Literature
ENGLISH,N125B,The English Novel,Arts and Literature
ENGLISH,125C,The European Novel,Arts and Literature
ENGLISH,125D,The 20th-Century Novel,Arts and Literature
ENGLISH,N125D,The 20th-Century Novel,Arts and Literature
ENGLISH,125E,The Contemporary Novel,Arts and Literature
ENGLISH,N125E,The Contemporary Novel,Arts and Literature
ENGLISH,126,British Literature: 1900-1945,Arts and Literature
ENGLISH,127,Modern Poetry,Arts and Literature
ENGLISH,128,Modern Drama,Arts and Literature
ENGLISH,130A,American Literature: Before 1800,Arts and Literature
ENGLISH,N130A,American Literature: Before 1800,Arts and Literature
ENGLISH,130B,American Literature: 1800-1865,Arts and Literature
ENGLISH,N130B,American Literature: 1800-1865,Arts and Literature
ENGLISH,130C,American Literature: 1865-1900,Arts and Literature
ENGLISH,130D,American Literature: 1900-1945,Arts and Literature
ENGLISH,N130D,American Literature: 1900-1945,Arts and Literature
ENGLISH,131,American Poetry,Arts and Literature
ENGLISH,132,American Novel,Arts and Literature
ENGLISH,N132,American Novel,Arts and Literature
ENGLISH,133A,African American Literature and Culture Before 1917,Arts and Literature
ENGLISH,133B,African American Literature and Culture Since 1917,Arts and Literature
ENGLISH,133T,Topics in African American Literature and Culture,Arts and Literature
ENGLISH,134,Contemporary Literature,Arts and Literature
ENGLISH,N134,Contemporary Literature,Arts and Literature
ENGLISH,135AC,Literature of American Cultures,Arts and Literature
ENGLISH,N135,Literature of American Cultures,Arts and Literature
ENGLISH,S135,Literature of American Cultures,Arts and Literature
ENGLISH,C136,Topics in American Studies,Arts and Literature
ENGLISH,137A,Chicana/o Literature and Culture to 1910,Arts and Literature
ENGLISH,137B,Chicana/o Literature and Culture Since 1910,Arts and Literature
ENGLISH,137T,Topics in Chicana/o Literature and Culture,Arts and Literature
ENGLISH,138,Studies in World Literature in English,Arts and Literature
ENGLISH,139,The Cultures of English,Arts and Literature
ENGLISH,141,"Modes of Writing (Exposition, Fiction, Verse, Etc.)",Arts and Literature
ENGLISH,N141,"Modes of Writing (Exposition, Fiction, Verse, Etc.)",Arts and Literature
ENGLISH,143A,Short Fiction,Arts and Literature
ENGLISH,143B,Verse,Arts and Literature
ENGLISH,143C,Long Narrative,Arts and Literature
ENGLISH,143D,Expository and Critical Writing,Arts and Literature
ENGLISH,143E,Playwriting,Arts and Literature
ENGLISH,143N,Prose Nonfiction,Arts and Literature
ENGLISH,143T,Poetry Translation Workshop,Arts and Literature
ENGLISH,C143V,Visual Autobiography,Arts and Literature
ENGLISH,152,Women Writers,Arts and Literature
ENGLISH,N152,Women Writers,Arts and Literature
ENGLISH,160,Methods and Materials of Literary Criticism,Arts and Literature
ENGLISH,161,Introduction to Literary Theory,Arts and Literature
ENGLISH,165AC,Special Topics in American Cultures,Arts and Literature
ENGLISH,166AC,Special Topics in American Cultures,Arts and Literature
ENGLISH,170,Literature and the Arts,Arts and Literature
ENGLISH,171,Literature and Sexual Identity,Arts and Literature
ENGLISH,172,Literature and Psychology,Arts and Literature
ENGLISH,173,The Language and Literature of Films,Arts and Literature
ENGLISH,N173,The Language and Literature of Films,Arts and Literature
ENGLISH,174,Literature and History,Arts and Literature
ENGLISH,175,Literature and Disability,Arts and Literature
ENGLISH,176,Literature and Popular Culture,Arts and Literature
ENGLISH,N176,Literature and Popular Culture,Arts and Literature
ENGLISH,177,Literature and Philosophy,Arts and Literature
ENGLISH,N177,Literature and Philosophy,Arts and Literature
ENGLISH,178,British and American Folklore,Arts and Literature
ENGLISH,179,Literature and Linguistics,Arts and Literature
ENGLISH,180A,Autobiography,Arts and Literature
ENGLISH,N180A,Autobiography,Arts and Literature
ENGLISH,180C,Comedy,Arts and Literature
ENGLISH,180E,The Epic,Arts and Literature
ENGLISH,180H,Short Story,Arts and Literature
ENGLISH,N180H,Short Story,Arts and Literature
ENGLISH,180J,The Essay,Arts and Literature
ENGLISH,180L,Lyric Verse,Arts and Literature
ENGLISH,180N,The Novel,Arts and Literature
ENGLISH,180R,The Romance,Arts and Literature
ENGLISH,180S,Satire,Arts and Literature
ENGLISH,180T,Tragedy,Arts and Literature
ENGLISH,180Z,Science Fiction,Arts and Literature
ENGLISH,N180Z,Science Fiction,Arts and Literature
ENVDES,4A,Design and Activism,Arts and Literature
ESPM,C12,Introduction to Environmental Studies,Arts and Literature
ESPM,C191,"The American Forest: Its Ecology, History, and Representation",Arts and Literature
ETHSTD,100,Comparative Ethnic Literature in America,Arts and Literature
ETHSTD,101B,Humanities Methods in Ethnic Studies,Arts and Literature
ETHSTD,122AC,Ethnicity and Race in Contemporary American Films,Arts and Literature
ETHSTD,174,Existential Panic in American Ethnic Literature,Arts and Literature
ETHSTD,175,Literature from Ethnic Movements,Arts and Literature
ETHSTD,176,Against the Grain: Ethnic American Art and Artists,Arts and Literature
FILM,20,Film and Media Cultures,Arts and Literature
FILM,25A,The History of Film,Arts and Literature
FILM,25B,The History of Film,Arts and Literature
FILM,50,Introduction to Film for Nonmajors,Arts and Literature
FILM,75,Postmodernism and Film,Arts and Literature
FILM,100,History of Film Theory,Arts and Literature
FILM,108,Special Topics in Film Genre,Arts and Literature
FILM,N108,Film Genres,Arts and Literature
FILM,C115,"The American Detective in Fiction, Film, and Television",Arts and Literature
FILM,128,Documentary,Arts and Literature
FILM,129,History of Avant-Garde Film,Arts and Literature
FILM,140,Special Topics in Film,Arts and Literature
FILM,151,Auteur Theory,Arts and Literature
FILM,160,National Cinema,Arts and Literature
FILM,N160,National Cinema,Arts and Literature
FILM,180,Introduction to Screenwriting,Arts and Literature
FILM,181,Screenwriting,Arts and Literature
FILM,184,Documentary and Nonfiction Film Production,Arts and Literature
FILM,185,Narrative Production,Arts and Literature
FILM,187,Special Topics in Media Production,Arts and Literature
FILM,C187,Advanced Digital Video,Arts and Literature
FRENCH,103A,Language and Culture,Arts and Literature
FRENCH,103B,Language and Culture,Arts and Literature
FRENCH,112A,Medieval Literature,Arts and Literature
FRENCH,112B,Medieval Literature,Arts and Literature
FRENCH,114A,Late Medieval Literature,Arts and Literature
FRENCH,116A,Sixteenth-Century Literature: Marot to Montaigne,Arts and Literature
FRENCH,117A,Seventeenth-Century Literature,Arts and Literature
FRENCH,117B,Seventeenth-Century Literature,Arts and Literature
FRENCH,118A,Eighteenth-Century Literature,Arts and Literature
FRENCH,118B,Eighteenth-Century Literature,Arts and Literature
FRENCH,119A,Nineteenth-Century Literature,Arts and Literature
FRENCH,119B,Nineteenth-Century Literature,Arts and Literature
FRENCH,120A,Twentieth-Century Literature,Arts and Literature
FRENCH,120B,Twentieth-Century Literature,Arts and Literature
FRENCH,121A,"Literary Themes, Genres, and Structures",Arts and Literature
FRENCH,121B,"Literary Themes, Genres, and Structures",Arts and Literature
FRENCH,122A,Literary Criticism,Arts and Literature
FRENCH,122B,Literary Criticism,Arts and Literature
FRENCH,123,Prose Fiction,Arts and Literature
FRENCH,125A,Poetics and Poetry,Arts and Literature
FRENCH,126,Senior Seminar,Arts and Literature
FRENCH,139,Creative Writing in French,Arts and Literature
FRENCH,140A,French Literature in English Translation,Arts and Literature
FRENCH,140B,French Literature in English Translation,Arts and Literature
FRENCH,140D,French Literature in English Translation,Arts and Literature
FRENCH,145,History of the French Language,Arts and Literature
FRENCH,150A,Women in French Literature,Arts and Literature
FRENCH,150B,Women in French Literature,Arts and Literature
FRENCH,151A,Francophone Literature,Arts and Literature
FRENCH,151B,Francophone Literature,Arts and Literature
FRENCH,170,French Films,Arts and Literature
FRENCH,172A,Psychoanalytic Theory and Literature,Arts and Literature
FRENCH,175A,Literature and the Visual Arts,Arts and Literature
FRENCH,177A,History and Criticism of Film,Arts and Literature
FRENCH,177B,History and Criticism of Film,Arts and Literature
FRENCH,178A,Studies in French Film,Arts and Literature
FRENCH,178B,Studies in French Film,Arts and Literature
FRENCH,180A,French Civilization,Arts and Literature
FRENCH,180C,French Civilization,Arts and Literature
FRENCH,180D,French Civilization,Arts and Literature
FRENCH,185,Literature and Colonialism,Arts and Literature
GERMAN,C25,"Revolutionary Thinking: Marx, Nietzsche, Freud",Arts and Literature
GERMAN,39P,Freshman Seminar,Arts and Literature
GERMAN,C76,Beauty and the Beholder: Approaching Art at the Berkeley Art Museum,Arts and Literature
GERMAN,100,Introduction to Reading Culture,Arts and Literature
GERMAN,101,"Advanced German: Conversation, Composition and Style",Arts and Literature
GERMAN,105,Middle High German for Undergraduates,Arts and Literature
GERMAN,C109,Language and Power,Arts and Literature
GERMAN,110,The Literature of the Middle Ages,Arts and Literature
GERMAN,123,From 1800 to the Present,Arts and Literature
GERMAN,151,Eighteenth- to 21st-Century German Poetry,Arts and Literature
GERMAN,175B,Undergraduate Seminars: 20th-Century Poetry,Arts and Literature
GERMAN,182,German Cinema in Exile,Arts and Literature
GERMAN,186,Transnational Cinemas,Arts and Literature
GREEK,100,Plato and Attic Prose,Arts and Literature
GREEK,101,Homer,Arts and Literature
GREEK,102,Drama and Society,Arts and Literature
GREEK,105,The Greek New Testament,Arts and Literature
GREEK,115,Archaic Poetry,Arts and Literature
GREEK,116,Greek Drama,Arts and Literature
GREEK,120,Herodotus,Arts and Literature
GREEK,121,Thucydides,Arts and Literature
GREEK,122,Attic Oratory,Arts and Literature
GREEK,123,Plato and Aristotle,Arts and Literature
GWS,100AC,Women in American Culture,Arts and Literature
GWS,125,Women and Film,Arts and Literature
GWS,140,Feminist Cultural Studies,Arts and Literature
GWS,C146A,Cultural Representations of Sexualities: Queer Literary Culture,Arts and Literature
HEBREW,104A,Modern Hebrew Literature and Culture,Arts and Literature
HEBREW,104B,Modern Hebrew Literature and Culture,Arts and Literature
HEBREW,148A,The Art and Culture of the Talmud: Advanced Textual Analysis,Arts and Literature
HINURD,101A,Readings in Modern Hindi,Arts and Literature
HINURD,101B,Readings in Modern Hindi,Arts and Literature
HINURD,104A,Advanced Urdu,Arts and Literature
HINURD,104B,Advanced Urdu,Arts and Literature
HISTART,10,Introduction to Western Art: Ancient to Medieval,Arts and Literature
HISTART,10B,History of Western Art: Renaissance to Modern,Arts and Literature
HISTART,N10,Introduction to Western Art: Ancient to Medieval,Arts and Literature
HISTART,11,Introduction to Western Art: Renaissance to the Present,Arts and Literature
HISTART,12,History of Western Art: Renaissance to Modern,Arts and Literature
HISTART,15,London Museums,Arts and Literature
HISTART,27,Visual Cultures of Africa,Arts and Literature
HISTART,N31,Arts of East Asia,Arts and Literature
HISTART,35,Art and Architecture in Japan,Arts and Literature
HISTART,41,Introduction to Greek and Roman Art,Arts and Literature
HISTART,51,Introduction to Medieval Art,Arts and Literature
HISTART,61,Introduction to the History of Art: Sculpture,Arts and Literature
HISTART,C62,Introduction to Italian Renaissance Art,Arts and Literature
HISTART,65,Arts of the Renaissance and Reformation,Arts and Literature
HISTART,80,Introduction to Modern Art,Arts and Literature
HISTART,87AC,Visual Cultures of California,Arts and Literature
HISTART,88,Arts of Latin America,Arts and Literature
HISTART,100,Theories and Methods of Art History,Arts and Literature
HISTART,N100,Theories and Methods of Art History,Arts and Literature
HISTART,101,Theories & Methods for a Global History of Art,Arts and Literature
HISTART,N104,Gender and Representation,Arts and Literature
HISTART,107,Images and the Law,Arts and Literature
HISTART,108,Cities and the Arts,Arts and Literature
HISTART,120,"The ""Origins"" of Art",Arts and Literature
HISTART,C120A,The Art of Ancient Mesopotamia: 3500-1000 BCE,Arts and Literature
HISTART,C120B,The Art of Ancient Mesopotamia: 1000-330 BCE,Arts and Literature
HISTART,C121A,Topics in Islamic Art,Arts and Literature
HISTART,C121B,Topics in Islamic Art,Arts and Literature
HISTART,127,The Arts of Africa,Arts and Literature
HISTART,130A,"Early Chinese Art, Part I",Arts and Literature
HISTART,131A,Sacred Arts in China,Arts and Literature
HISTART,131B,The Classical Painting Tradition in China,Arts and Literature
HISTART,131C,Art and Propaganda in Modern China,Arts and Literature
HISTART,134A,Topics in Buddhist Art and Architecture: Buddhist Temple Art & Architecture in Japan,Arts and Literature
HISTART,134B,Topics in Buddhist Art and Architecture: Buddhist Icons in Japan,Arts and Literature
HISTART,134C,Topics in Buddhist Art and Architecture: Buddhist Art in the Modern/Contemporary World,Arts and Literature
HISTART,136A,South Asian Art: Ancient,Arts and Literature
HISTART,136B,South Asian Art: Early Modern,Arts and Literature
HISTART,136C,The Art of India: 1350 A.D. to the Present,Arts and Literature
HISTART,137,The Art of Southeast Asia,Arts and Literature
HISTART,141A,The Art of Ancient Greece: Archaic Greek Art and Architecture (750-480 B.C.),Arts and Literature
HISTART,141B,The Art of Ancient Greece: Classical Greek Art and Architecture (500-320 B.C.),Arts and Literature
HISTART,141C,The Art of Ancient Greece: Hellenistic Art and Architecture (330-30 B.C.),Arts and Literature
HISTART,145,Roman Art,Arts and Literature
HISTART,C145A,Pictorial Representation in the Roman World,Arts and Literature
HISTART,155A,"Relics, Reliquaries and Cult Images",Arts and Literature
HISTART,156A,Gothic Art in Northern Europe: 1150-1270,Arts and Literature
HISTART,C156B,Art and Science,Arts and Literature
HISTART,160,Renaissance Art in Florence 1400-1600,Arts and Literature
HISTART,161,Renaissance Art in Rome 1400-1600,Arts and Literature
HISTART,162,Renaissance Art in Venice 1400-1600,Arts and Literature
HISTART,166,Van Eyck to Brueghel,Arts and Literature
HISTART,169A,"Elizabethan Renaissance: Art, Culture, and Visuality",Arts and Literature
HISTART,170,Southern Baroque Art,Arts and Literature
HISTART,171,Visual Culture in Early Modern Spain and Colonial Latin America,Arts and Literature
HISTART,172,The Dutch Golden Age,Arts and Literature
HISTART,173,The Age of Rubens,Arts and Literature
HISTART,174,Types of Dutch and Flemish Painting in the 17th Century,Arts and Literature
HISTART,175,Visual Culture in Early Modern France: Renaissance to Enlightenment,Arts and Literature
HISTART,179,Eighteenth-Century British Art,Arts and Literature
HISTART,180A,Nineteenth-Century Europe: Age of Revolution,Arts and Literature
HISTART,180C,Nineteenth-Century Europe: The Invention of Avant-Gardes,Arts and Literature
HISTART,N180C,Nineteenth-Century Europe: The Invention of Avant-Gardes,Arts and Literature
HISTART,N181,French Art of the 19th Century,Arts and Literature
HISTART,182,Histories of Photography,Arts and Literature
HISTART,N182,Histories of Photography,Arts and Literature
HISTART,183,Art and Colonialism,Arts and Literature
HISTART,183E,American Painting and Photography from the Civil War to WW II,Arts and Literature
HISTART,185,From Manet to Mondrian,Arts and Literature
HISTART,185A,American Art (1800-Present),Arts and Literature
HISTART,185B,American Architecture: Domestic Forms,Arts and Literature
HISTART,186A,Art in the Early 20th Century,Arts and Literature
HISTART,N185C,Contemporary American Art,Arts and Literature
HISTART,186C,Art in the Later 20th Century,Arts and Literature
HISTART,N186C,Art in the Later 20th Century,Arts and Literature
HISTART,187AC,Race and Representation in the Twentieth Century in the United States,Arts and Literature
HISTART,188,Latin American Art,Arts and Literature
HISTART,188A,Latin American Art: Before Columbus,Arts and Literature
HISTART,C189,"The American Forest: Its Ecology, History, and Representation",Arts and Literature
HISTART,190A,Asian,Arts and Literature
HISTART,190B,Ancient,Arts and Literature
HISTART,190C,Medieval,Arts and Literature
HISTART,190DH,Digital Humanities for Art Historians,Arts and Literature
HISTART,190E,17th-18th Century,Arts and Literature
HISTART,190F,19th-20th Century,Arts and Literature
HISTART,190G,American/British,Arts and Literature
HISTART,190M,Special Topics in Fields of Art History: Global Modernism,Arts and Literature
HISTART,190T,Transcultural,Arts and Literature
HISTORY,39N,Freshman Sophomore Seminar,Arts and Literature
HISTORY,C188A,Art and Science,Arts and Literature
ITALIAN,30,Dante (in English),Arts and Literature
ITALIAN,40,Italian Culture (in English),Arts and Literature
ITALIAN,50,The Italian Renaissance,Arts and Literature
ITALIAN,C62,Introduction to Italian Renaissance Art,Arts and Literature
ITALIAN,70,"Italian Cinema: History, Directors, Genres, Introduction to Italian Cinema",Arts and Literature
ITALIAN,102,Italian through the Arts,Arts and Literature
ITALIAN,103,History of Italian Culture,Arts and Literature
ITALIAN,104,Reading Italian Literature,Arts and Literature
ITALIAN,109,Dante's Commedia (in Italian),Arts and Literature
ITALIAN,115,Nineteenth-Century Literature and Culture,Arts and Literature
ITALIAN,120,Topics in Italian Studies,Arts and Literature
ITALIAN,130A,Dante's Inferno (in English),Arts and Literature
ITALIAN,130B,Dante's Purgatorio and Paradiso,Arts and Literature
ITALIAN,163,Special Topics in Italian Literature,Arts and Literature
ITALIAN,170,"The Italian Cinema: History, Genres, Authors",Arts and Literature
ITALIAN,175,Film and Literature (in English),Arts and Literature
JAPAN,7A,Introduction to Premodern Japanese Literature and Culture,Arts and Literature
JAPAN,7B,Introduction to Modern Japanese Literature and Culture,Arts and Literature
JAPAN,101,Fourth-Year Readings: Social Sciences,Arts and Literature
JAPAN,102,Fourth-Year Readings: Japanese Culture,Arts and Literature
JAPAN,103,Fourth-Year Readings: Japanese Literature,Arts and Literature
JAPAN,111,Fifth-Year Readings: Reading and Analysis of Advanced Japanese Texts,Arts and Literature
JAPAN,112,Fifth-Year Readings: Japanese for Research and Professional Use,Arts and Literature
JAPAN,120,Introduction to Classical Japanese,Arts and Literature
JAPAN,130,Classical Japanese Poetry,Arts and Literature
