depart	name	number	units
Dutch (DUTCH)	Individual Studies in Dutch for Graduate Students	299	1
American Studies (AMERSTD)	Keywords in American Studies	5	1
American Studies (AMERSTD)	Introduction to American Studies	10	4
American Studies (AMERSTD)	Introduction to American Studies	10AC	4
American Studies (AMERSTD)	Introduction to American Studies: Hollywood: the Place, the Industry, the Fantasy	C10	4
American Studies (AMERSTD)	Freshman Seminar	24	1
American Studies (AMERSTD)	Directed Group Study	98	1
American Studies (AMERSTD)	Supervised Independent Study and Research	99	1
American Studies (AMERSTD)	Examining U.S. Cultures in Time	101	4
American Studies (AMERSTD)	Examining U.S. Cultures in Time	101AC	4
American Studies (AMERSTD)	Examining U.S. Cultures in Place	102	4
American Studies (AMERSTD)	Special Topics in American Studies	110	3
American Studies (AMERSTD)	Special Topics in American Studies--American Cultures	110AC	3
American Studies (AMERSTD)	Honors Seminar: Special Topics in American Studies	H110	3
American Studies (AMERSTD)	Architecture in Depression and War	C111A	4
American Studies (AMERSTD)	Topics in American Studies	C111E	4
American Studies (AMERSTD)	American Cultural Landscapes, 1600 to 1900	C112A	4
American Studies (AMERSTD)	American Cultural Landscapes, 1900 to Present	C112B	4
American Studies (AMERSTD)	The American Forest: Its Ecology, History, and Representation	C112F	4
American Studies (AMERSTD)	The American Detective in Fiction, Film, and Television	C115	4
American Studies (AMERSTD)	Photography in America	121	4
American Studies (AMERSTD)	Tribal Sovereignty	130Y	1
American Studies (AMERSTD)	Native American Indian Literatures	131Y	1
American Studies (AMERSTD)	Intellectual History of the United States since 1865	C132B	4
American Studies (AMERSTD)	Native American Indian Autobiographies	132Y	1
American Studies (AMERSTD)	Native America Today	133Y	1
American Studies (AMERSTD)	Information Technology and Society	C134	4
American Studies (AMERSTD)	American Painting at the Fine Arts Museums of San Francisco	134Y	1
American Studies (AMERSTD)	The Beats in San Francisco	135Y	1
American Studies (AMERSTD)	A Sense of Place: Four American Worlds	136Y	1
American Studies (AMERSTD)	Changing Media in American Society	137Y	1
American Studies (AMERSTD)	From Civil Rights Era to the New Gilded Age: Struggles for Racial Equality and Economic Equity from 'Double Victory' to 'Occupy'	138AC	4
American Studies (AMERSTD)	Advertising and the Culture of Consumption: Gender and Race in Commercial Representations of the Self	138Y	1
American Studies (AMERSTD)	Civil Rights and Social Movements in U.S. History	139AC	4
American Studies (AMERSTD)	The Western Film	139Y	1
American Studies (AMERSTD)	American Film Noir	140Y	1
American Studies (AMERSTD)	San Francisco and the Bay Area: The View from the Street	141Y	1
American Studies (AMERSTD)	Community Development in the Bay Area	142Y	1
American Studies (AMERSTD)	Native American Literature	C152	4
American Studies (AMERSTD)	Native American Novelists	C168	1
American Studies (AMERSTD)	Race and Representation in US Culture	170AC	3
American Studies (AMERSTD)	The American Designed Landscape Since 1850	C171	3
American Studies (AMERSTD)	History of American Business	C172	3
American Studies (AMERSTD)	Visual Autobiography	C174	4
American Studies (AMERSTD)	Race and Ethnicity in American Culture: Film, Music, and Advertising	178AC	3
American Studies (AMERSTD)	Representing Race and Ethnicity in American Culture	179AC	3
American Studies (AMERSTD)	Advertising America	180A	1
American Studies (AMERSTD)	Advertising and the Culture of Consumption: Gender and Race in Commercial Representations of the Self	180B	1
American Studies (AMERSTD)	The Politics of Advertising in the United States: Race, Ethnicity and Representation	180C	1
American Studies (AMERSTD)	Race and American Humor	180D	1
American Studies (AMERSTD)	American Painting at the Fine Arts Museums of San Francisco	181A	1
American Studies (AMERSTD)	Visual Culture in American Society: Photography and Art	181B	1
American Studies (AMERSTD)	American Journeys	182A	1
American Studies (AMERSTD)	Chinatown in History and in American Imagination	182B	1
American Studies (AMERSTD)	Community Development in the Bay Area	182C	1
American Studies (AMERSTD)	Island of History: Angel Island, California	182D	1
American Studies (AMERSTD)	San Francisco and the Bay Area: The View from the Street	182E	1
American Studies (AMERSTD)	San Francisco Chinatown	182F	1
American Studies (AMERSTD)	Alcatraz: Conquest, Containment, and Contestation	182G	1
American Studies (AMERSTD)	American Autobiographies	183A	1
American Studies (AMERSTD)	The Beats in San Francisco	183B	1
American Studies (AMERSTD)	The Fiction of F. Scott Fitzgerald	183C	1
American Studies (AMERSTD)	Three African American Classics	183D	1
American Studies (AMERSTD)	The Woman's Frontier	183E	1
American Studies (AMERSTD)	African Americans and the Media	184A	1
American Studies (AMERSTD)	American Film Noir	184B	1
American Studies (AMERSTD)	Asians and the Cinema	184C	1
American Studies (AMERSTD)	The Celluloid Sixties	184D	1
American Studies (AMERSTD)	Changing Media in American Society	184E	1
American Studies (AMERSTD)	Murder and the Media	184F	1
American Studies (AMERSTD)	Nature and the Media	184G	1
American Studies (AMERSTD)	The Western Film	184H	1
American Studies (AMERSTD)	Race and American Film	184I	1
American Studies (AMERSTD)	American Studies on the Internet	185A	1
American Studies (AMERSTD)	Indians of California	186A	1
American Studies (AMERSTD)	Native American Autobiographies	186B	1
American Studies (AMERSTD)	Native American Literature	186C	1
American Studies (AMERSTD)	Native American Philosophies	C186E	1
American Studies (AMERSTD)	Museums and Sacred Sites	C186H	1
American Studies (AMERSTD)	Native American Poetry	C186I	1
American Studies (AMERSTD)	Imagining the Other	C186J	1
American Studies (AMERSTD)	Native American Novelists	186D	1
American Studies (AMERSTD)	Native American Philosophies	186E	1
American Studies (AMERSTD)	Native America Today	186F	1
American Studies (AMERSTD)	Tribal Sovereignty	186G	1
American Studies (AMERSTD)	California Contemporary Immigration	187A	1
American Studies (AMERSTD)	European Images of America	187B	1
American Studies (AMERSTD)	In Search of America	187C	1
American Studies (AMERSTD)	Narratives of Justice	187D	1
American Studies (AMERSTD)	Caribbean Arts and Cultures: The Carnival	188A	1
American Studies (AMERSTD)	Walt Disney's America	188B	1
American Studies (AMERSTD)	Food Culture in America	188C	1
American Studies (AMERSTD)	San Francisco Detectives	188D	1
American Studies (AMERSTD)	Sports: A Lens on American Culture	188E	1
American Studies (AMERSTD)	American Popular Music	188F	1
American Studies (AMERSTD)	American Popular Culture: Shopping and American Consumerism	188G	1
American Studies (AMERSTD)	Contemporary Asian American Culture	188H	1
American Studies (AMERSTD)	American Indians and Pop Culture	188I	1
American Studies (AMERSTD)	Comic Book Nation: Comic Books, Superheroes, and American Popular Culture	188J	1
American Studies (AMERSTD)	American Horrors: Monsters in U.S. Cinema and Literature	188K	1
American Studies (AMERSTD)	Research and Writing in American Studies	189	1
American Studies (AMERSTD)	Senior Thesis	190	4
American Studies (AMERSTD)	Senior Seminar	191	4
American Studies (AMERSTD)	Honors Thesis	H195	4
American Studies (AMERSTD)	Directed Group Study for Advanced Undergraduates	198	1
American Studies (AMERSTD)	Supervised Independent Study and Research for Upper Division Majors	199	1
American Studies (AMERSTD)	Teaching Interdisciplinary American Studies	300	2
Cognitive Science (COG SCI)	Introduction to Cognitive Science	1	4
Cognitive Science (COG SCI)	Introduction to Cognitive Science	1B	3
Cognitive Science (COG SCI)	Introduction to Cognitive Science	N1	3
Cognitive Science (COG SCI)	Data Science and the Mind	88	2
Cognitive Science (COG SCI)	Directed Group Study	98	1
Cognitive Science (COG SCI)	Supervised Independent Study and Research	99	1
Cognitive Science (COG SCI)	Basic Issues in Cognition	C100	3
Cognitive Science (COG SCI)	Basic Issues in Cognition	N100	3
Cognitive Science (COG SCI)	The Mind and Language	C101	4
Cognitive Science (COG SCI)	Scientific Approaches to Consciousness	C102	3
Cognitive Science (COG SCI)	The Mind, Language, and Politics	C104	4
Cognitive Science (COG SCI)	Perception	C126	3
Cognitive Science (COG SCI)	Cognitive Neuroscience	C127	3
Cognitive Science (COG SCI)	Computational Models of Cognition	131	4
Cognitive Science (COG SCI)	Quantitative Methods in Linguistics	C140	4
Cognitive Science (COG SCI)	Language and Thought	C142	3
Cognitive Science (COG SCI)	Language Disorders	C147	3
Cognitive Science (COG SCI)	Special Topics in Cognitive Science	190	3
Cognitive Science (COG SCI)	Special Study for Honors Candidates	H195A	1
Cognitive Science (COG SCI)	Special Study for Honors Candidates	H195B	1
Cognitive Science (COG SCI)	Academic Internship Credit	197	1
Cognitive Science (COG SCI)	Directed Group Study	198	1
Cognitive Science (COG SCI)	Independent Study in Research	199	1
Cognitive Science (COG SCI)	Graduate Seminar on the Mind and Language	201	4
Cognitive Science (COG SCI)	Teaching Cognitive Science	300	1
Legal Studies (LEGALST)	Reading and Composition in Connection with the Law as a Social Institution	R1A	4
Legal Studies (LEGALST)	Reading and Composition in Connection with the Law as a Social Institution	R1B	4
Legal Studies (LEGALST)	Freshman Seminars	24	1
Legal Studies (LEGALST)	Freshman/Sophomore Seminar	39B	2
Legal Studies (LEGALST)	Freshman/Sophomore Seminar	39D	2
Legal Studies (LEGALST)	Freshman/Sophomore Seminar	39E	2
Legal Studies (LEGALST)	Freshman/Sophomore Seminar	39H	2
Legal Studies (LEGALST)	Freshman/Sophomore Seminar	39I	2
Legal Studies (LEGALST)	Crime and Punishment: taking the measure of the US justice system	88	2
Legal Studies (LEGALST)	Directed Group Study	98	1
Legal Studies (LEGALST)	Foundations of Legal Studies	100	4
Legal Studies (LEGALST)	Policing and Society	102	4
Legal Studies (LEGALST)	Theories of Law and Society	103	4
Legal Studies (LEGALST)	Youth Justice and Culture	104AC	4
Legal Studies (LEGALST)	Theoretical Foundations of Criminal Law	105	3
Legal Studies (LEGALST)	Theories of Justice	107	4
Legal Studies (LEGALST)	Aims and Limits of the Criminal Law	109	4
Legal Studies (LEGALST)	Legal Discourse 1500-1700	116	4
Legal Studies (LEGALST)	Philosophy and Law in Ancient Athens	119	4
Legal Studies (LEGALST)	Immigration and Citizenship	132AC	4
Legal Studies (LEGALST)	The Supreme Court and Public Policy	138	4
Legal Studies (LEGALST)	Comparative Perspectives on Norms and Legal Traditions	139	4
Legal Studies (LEGALST)	Property and Liberty	140	4
Legal Studies (LEGALST)	Law and Economics I	145	4
Legal Studies (LEGALST)	The Law and Economics of Innovation	146	4
Legal Studies (LEGALST)	Law and Economics II	147	4
Legal Studies (LEGALST)	Law, Self, and Society	151	3
Legal Studies (LEGALST)	Human Rights & Technology	152AC	4
Legal Studies (LEGALST)	Law and Society in Asia	153	4
Legal Studies (LEGALST)	Human Rights, Research & Practice	154	4
Legal Studies (LEGALST)	Government and the Family	155	4
Legal Studies (LEGALST)	Bioethics and the Law	156	4
Legal Studies (LEGALST)	International Relations and International Law	157	4
Legal Studies (LEGALST)	Law and Development	158	4
Legal Studies (LEGALST)	Introduction to Law & Sexuality	159	4
Legal Studies (LEGALST)	Punishment, Culture, and Society	160	4
Legal Studies (LEGALST)	Law in Chinese Society	161	4
Legal Studies (LEGALST)	Restorative Justice	162AC	4
Legal Studies (LEGALST)	Adolescence, Crime and Juvenile Justice	163	4
Legal Studies (LEGALST)	Sex, Reproduction and the Law	168	4
Legal Studies (LEGALST)	Crime and Criminal Justice	170	4
Legal Studies (LEGALST)	European Legal History	171	4
Legal Studies (LEGALST)	Making Empire: Law and the Colonization of America	173	4
Legal Studies (LEGALST)	Comparative Constitutional Law: The Case of Israel	174	4
Legal Studies (LEGALST)	Twentieth-Century American Legal and Constitutional History	176	4
Legal Studies (LEGALST)	Survey of American Legal and Constitutional History	177	4
Legal Studies (LEGALST)	Seminar on American Legal and Constitutional History	178	3
Legal Studies (LEGALST)	Comparative Constitutional Law	179	4
Legal Studies (LEGALST)	Implicit Bias	180	4
Legal Studies (LEGALST)	Psychology and the Law	181	4
Legal Studies (LEGALST)	Law, Politics and Society	182	4
Legal Studies (LEGALST)	Psychology of Diversity and Discrimination in American Law	183	4
Legal Studies (LEGALST)	Sociology of Law	184	4
Legal Studies (LEGALST)	Prison	185AC	4
Legal Studies (LEGALST)	Prison	C185	4
Legal Studies (LEGALST)	Diversity, Law & Politics	187	4
Legal Studies (LEGALST)	Feminist Jurisprudence	189	4
Legal Studies (LEGALST)	Seminar on Topics in Law and Society	190	1
Legal Studies (LEGALST)	Honors Seminar	H195A	4
Legal Studies (LEGALST)	Honors Thesis	H195B	4
Legal Studies (LEGALST)	Legal Studies Honors Research and Writing Seminar	H195C	1
Legal Studies (LEGALST)	Directed Group Study	198	1
Legal Studies (LEGALST)	Supervised Independent Study and Research	199	1
Swedish (SWEDISH)	Beginning Swedish	1A	4
Swedish (SWEDISH)	Beginning Swedish	1B	4
Integrative Biology (INTEGBI)	Origins: from the Big Bang to the Emergence of Humans	C13	4
Integrative Biology (INTEGBI)	Freshman Seminars	24	1
Integrative Biology (INTEGBI)	The Ecology and Evolution of Animal Behavior	31	3
Integrative Biology (INTEGBI)	Bioinspired Design	C32	3
Integrative Biology (INTEGBI)	Topics in Paleontology: The Age of Dinosaurs	N33	2
Integrative Biology (INTEGBI)	Human Biological Variation	35AC	4
Integrative Biology (INTEGBI)	Topics in Paleontology: The Antecedents of Man	37	3
Integrative Biology (INTEGBI)	Topics in Integrative Biology	39C	2
Integrative Biology (INTEGBI)	Marine Mammals	41	2
Integrative Biology (INTEGBI)	Primate Biology	42	3
Integrative Biology (INTEGBI)	Integrative Human Biology	77A	1
Integrative Biology (INTEGBI)	Integrative Human Biology	77B	1
Integrative Biology (INTEGBI)	Oceans	C82	3
Integrative Biology (INTEGBI)	Sophomore Seminar	84	1
Integrative Biology (INTEGBI)	Introduction to Research Methods in Biology	87	2
Integrative Biology (INTEGBI)	Leadership Communications for Biology Scholars	88	1
Integrative Biology (INTEGBI)	Special Research Project in Biology 1B	95	2
Integrative Biology (INTEGBI)	Studying the Biological Sciences	C96	1
Integrative Biology (INTEGBI)	Directed Group Study	98	1
Integrative Biology (INTEGBI)	Supervised Independent Study and Research	99	1
Integrative Biology (INTEGBI)	Principles of Biodiversity	100B	3
Integrative Biology (INTEGBI)	Communicating Ocean Science	C100	4
Integrative Biology (INTEGBI)	Introduction to California Plant Life with Laboratory	102LF	4
Integrative Biology (INTEGBI)	Invertebrate Zoology with Laboratory	103LF	5
Integrative Biology (INTEGBI)	Natural History of the Vertebrates with Laboratory	104LF	5
Integrative Biology (INTEGBI)	Natural History Museums and Biodiversity Science	C105	3
Integrative Biology (INTEGBI)	Physical and Chemical Environment of the Ocean	106A	4
Integrative Biology (INTEGBI)	Principles of Plant Morphology with Laboratory	C107L	4
Integrative Biology (INTEGBI)	Evolution and Ecology of Development	C109	3
Integrative Biology (INTEGBI)	Biology of Fungi with Laboratory	C110L	4
Integrative Biology (INTEGBI)	Horticultural Methods in the Botanical Garden	112	1
Integrative Biology (INTEGBI)	Paleobiological Perspectives on Ecology and Evolution	113L	4
Integrative Biology (INTEGBI)	Infectious Disease Dynamics	114	4
Integrative Biology (INTEGBI)	Introduction to Systems in Biology and Medicine	115	4
Integrative Biology (INTEGBI)	Medical Parasitology	116L	4
Integrative Biology (INTEGBI)	Medical Ethnobotany	117	2
Integrative Biology (INTEGBI)	Medical Ethnobotany Laboratory	117LF	2
Integrative Biology (INTEGBI)	Host-Pathogen Interactions: A Trans-Discipline Outlook	118	4
Integrative Biology (INTEGBI)	Evaluating Scientific Evidence in Medicine	119	3
Integrative Biology (INTEGBI)	Exercise Physiology with Laboratory	123AL	5
Integrative Biology (INTEGBI)	Introduction to the Biomechanical Analysis of Human Movement	C125L	4
Integrative Biology (INTEGBI)	Motor Control with Laboratory	127L	3
Integrative Biology (INTEGBI)	Sports Medicine	128	3
Integrative Biology (INTEGBI)	Human Physiological Assessment	C129L	3
Integrative Biology (INTEGBI)	General Human Anatomy	131	3
Integrative Biology (INTEGBI)	Applied Anatomy	131A	1
Integrative Biology (INTEGBI)	General Human Anatomy Laboratory	131L	2
Integrative Biology (INTEGBI)	Survey of Human Physiology	132	4
Integrative Biology (INTEGBI)	Mammalian Physiology Laboratory	132L	2
Integrative Biology (INTEGBI)	Anatomy Enrichment Program	133	2
Integrative Biology (INTEGBI)	The Mechanics of Organisms	135	4
Integrative Biology (INTEGBI)	Laboratory in the Mechanics of Organisms	C135L	3
Integrative Biology (INTEGBI)	The Biology of Sex	136	4
Integrative Biology (INTEGBI)	Human Endocrinology	137	4
Integrative Biology (INTEGBI)	Comparative Endocrinology	138	4
Integrative Biology (INTEGBI)	The Neurobiology of Stress	139	4
Integrative Biology (INTEGBI)	Biology of Human Reproduction	140	4
Integrative Biology (INTEGBI)	Human Genetics	141	3
Integrative Biology (INTEGBI)	Introduction to Human Osteology	C142L	6
Integrative Biology (INTEGBI)	Biological Clocks: Physiology and Behavior	C143A	3
Integrative Biology (INTEGBI)	Hormones and Behavior	C143B	3
Integrative Biology (INTEGBI)	Animal Behavior	C144	4
Integrative Biology (INTEGBI)	Animal Communication	C145	3
Integrative Biology (INTEGBI)	Behavioral Ecology with Laboratory	146LF	5
Integrative Biology (INTEGBI)	Biology of Aging	147	3
Integrative Biology (INTEGBI)	Comparative Animal Physiology	148	3
Integrative Biology (INTEGBI)	Molecular Ecology	C149	4
Integrative Biology (INTEGBI)	Evolutionary Environmental Physiology	150	3
Integrative Biology (INTEGBI)	Plant Physiological Ecology	151	4
Integrative Biology (INTEGBI)	Plant Physiological Ecology Laboratory	151L	2
Integrative Biology (INTEGBI)	Environmental Toxicology	152	4
Integrative Biology (INTEGBI)	Ecology	153	3
Integrative Biology (INTEGBI)	Plant Ecology	154	3
Integrative Biology (INTEGBI)	Plant Ecology Laboratory	154L	2
Integrative Biology (INTEGBI)	Holocene Paleoecology: How Humans Changed the Earth	C155	3
Integrative Biology (INTEGBI)	Principles of Conservation Biology	C156	4
Integrative Biology (INTEGBI)	Ecosystems of California	157LF	4
Integrative Biology (INTEGBI)	Biology and Geomorphology of Tropical Islands	158LF	13
Integrative Biology (INTEGBI)	The Living Planet: Impact of the Biosphere on the Earth System	159	3
Integrative Biology (INTEGBI)	Evolution	160	4
Integrative Biology (INTEGBI)	Population and Evolutionary Genetics	161	4
Integrative Biology (INTEGBI)	Ecological Genetics	162	4
Integrative Biology (INTEGBI)	Molecular and Genomic Evolution	163	3
Integrative Biology (INTEGBI)	Human Genetics and Genomics	164	4
Integrative Biology (INTEGBI)	Evolutionary Biogeography	166	4
Integrative Biology (INTEGBI)	Evolution and Earth History: From Genes to Fossils	167	4
Integrative Biology (INTEGBI)	Systematics of Vascular Plants	168	2
Integrative Biology (INTEGBI)	Systematics of Vascular Plants with Laboratory	168L	4
Integrative Biology (INTEGBI)	Evolutionary Medicine	169	4
Integrative Biology (INTEGBI)	Methods in Population and Community Ecology	170LF	3
Integrative Biology (INTEGBI)	Freshwater Ecology	C171	3
Integrative Biology (INTEGBI)	Coevolution: From Genes to Ecosystems	172	4
Integrative Biology (INTEGBI)	Mammalogy with Laboratory	173LF	5
Integrative Biology (INTEGBI)	Ornithology with Laboratory	174LF	4
Integrative Biology (INTEGBI)	Herpetology with Laboratory	175LF	4
Integrative Biology (INTEGBI)	Fish Ecology	C176L	3
Integrative Biology (INTEGBI)	Ichthyology	177LF	4
Integrative Biology (INTEGBI)	Paleobotany - The 500-Million Year History of a Greening Planet	181L	4
Integrative Biology (INTEGBI)	Evolution of the Vertebrates with Laboratory	183L	4
Integrative Biology (INTEGBI)	Morphology of the Vertebrate Skeleton with Laboratory	184L	4
Integrative Biology (INTEGBI)	Human Paleontology	C185L	5
Integrative Biology (INTEGBI)	Human Biogeography of the Pacific	C187	3
Integrative Biology (INTEGBI)	Seminar for Integrative Biology Majors	190	1
Integrative Biology (INTEGBI)	Directed Undergraduate Research	191	3
Integrative Biology (INTEGBI)	Undergraduate Student Instructor for Integrative Biology Courses	194	1
Integrative Biology (INTEGBI)	Introduction to Global Health Disparities Research	C195	2
Integrative Biology (INTEGBI)	Thesis Course	H196A	3
Integrative Biology (INTEGBI)	Thesis Course	H196B	3
Integrative Biology (INTEGBI)	Supervised Internship	197	1
Integrative Biology (INTEGBI)	Supervised Group Study and Research By Upper Division Students	198	1
Integrative Biology (INTEGBI)	Supervised Independent Study and Research	199	1
Integrative Biology (INTEGBI)	Principles of Phylogenetics	C200	4
Integrative Biology (INTEGBI)	Research Reviews in Animal Behavior: Behavior Review	C204	1
Integrative Biology (INTEGBI)	Quantitative Methods for Ecological and Environmental Modeling	C205	3
Integrative Biology (INTEGBI)	Statistical Phylogenetics	206	3
Integrative Biology (INTEGBI)	Communicating Ocean Science	C215	4
Integrative Biology (INTEGBI)	Freshwater Ecology	C216	3
Integrative Biology (INTEGBI)	Biomimetic Engineering -- Engineering from Biology	C217	3
Integrative Biology (INTEGBI)	Seminar in Locomotion Energetics and Biomechanics	222	2
Integrative Biology (INTEGBI)	Seminar in Physiological Bases of Physical Activity	223	2
Integrative Biology (INTEGBI)	Isotopics	C226	2
Integrative Biology (INTEGBI)	Stable Isotope Ecology	C227	5
Integrative Biology (INTEGBI)	Marine Science Review	230	1
Integrative Biology (INTEGBI)	Seminar in Biomechanics	232	2
Integrative Biology (INTEGBI)	Seminar on Biology of Amphibians and Reptiles	234	1
Integrative Biology (INTEGBI)	Advanced Topics in Endocrine-Regulated Development	241	3
Integrative Biology (INTEGBI)	Seminars in Systems Biology	246	2
Integrative Biology (INTEGBI)	Comparative Physiology and Endocrinology Seminar	248	1
Integrative Biology (INTEGBI)	Seminar on Evolutionary Genetics	249	1
Integrative Biology (INTEGBI)	Seminar in Ecology	250	2
Integrative Biology (INTEGBI)	Ecological Research Reviews	251	1
Integrative Biology (INTEGBI)	Current Topics in Behavioral Physiology	257	2
Integrative Biology (INTEGBI)	Advanced Paleoecology	259	2
Integrative Biology (INTEGBI)	Seminar in Computational Biology	262	1
Integrative Biology (INTEGBI)	Genetics and the Evolution of the Skeleton	263	2
Integrative Biology (INTEGBI)	Seminar in Evolutionary Biology of the Vertebrates	264	1
Integrative Biology (INTEGBI)	Advanced Studies in Hominid Paleobiology	265	2
Integrative Biology (INTEGBI)	Seminar in Evolution above the Species Level	268	2
Integrative Biology (INTEGBI)	Seminar in Evolution	281	2
Integrative Biology (INTEGBI)	Seminar in Vertebrate Evolution and Paleontology	283	1
Integrative Biology (INTEGBI)	Seminars in Paleontology	286	2
Integrative Biology (INTEGBI)	Research Seminar	290	1
Integrative Biology (INTEGBI)	Research Seminar	291	1
Integrative Biology (INTEGBI)	Integrative Biology Colloquium	292	0.0
Integrative Biology (INTEGBI)	Special Study for Graduate Students	296	1
Integrative Biology (INTEGBI)	Directed Field Studies	297	1
Integrative Biology (INTEGBI)	Special Study in Integrative Biology	298	1
Integrative Biology (INTEGBI)	Graduate Research	299	1
Integrative Biology (INTEGBI)	Graduate Research	N299	1
Integrative Biology (INTEGBI)	Dissemination of Research: Your Interface with the Public	304	2
Integrative Biology (INTEGBI)	Academic Survivorship	305	2
Integrative Biology (INTEGBI)	Teaching Colloquium: Graduate Student Instructor Training	375	2
Integrative Biology (INTEGBI)	Training in Stable Isotope Methods and Mass Spectrometry	400	1
Integrative Biology (INTEGBI)	Introduction to Scientific Diving	C407	3
Integrative Biology (INTEGBI)	Individual Study for Master's Students	601	1
Integrative Biology (INTEGBI)	Individual Study for Doctoral Students	602	1
Integrative Biology (INTEGBI)	Individual Study for Doctoral Students	N602	1
Applied Science and Technology (AST)	X-rays and Extreme Ultraviolet Radiation	C210	3
Applied Science and Technology (AST)	Thin-Film Science and Technology	C225	3
Applied Science and Technology (AST)	Partially Ionized Plasmas	C239	3
Applied Science and Technology (AST)	Applied Spectroscopy	C295R	3
Applied Science and Technology (AST)	Individual Study or Research	299	1
Russian (RUSSIAN)	Elementary Russian	1	5
Russian (RUSSIAN)	Elementary Russian	2	5
Russian (RUSSIAN)	Intermediate Russian	3	5
Russian (RUSSIAN)	Intermediate Russian	4	5
Russian (RUSSIAN)	Introductory Russian for Heritage Speakers	6A	3
Russian (RUSSIAN)	Introductory Russian for Heritage Speakers	6B	3
Russian (RUSSIAN)	Elementary Intensive Russian	10	10
Russian (RUSSIAN)	Intermediate Intensive Russian	20	10
Russian (RUSSIAN)	Advanced Russian Phonetics and Oral Performance	101	1
Russian (RUSSIAN)	Readings in Specialized Russian	102	3
Russian (RUSSIAN)	Advanced Russian	103A	4
Russian (RUSSIAN)	Advanced Russian	103B	4
Russian (RUSSIAN)	Advanced Russian/English/Russian Translation	105A	3
Russian (RUSSIAN)	Advanced Russian/English/Russian Translation	105B	3
Russian (RUSSIAN)	Advanced Russian for Heritage Speakers	106A	3
Russian (RUSSIAN)	Advanced Russian for Heritage Speakers	106B	3
Russian (RUSSIAN)	Business Russian	109	3
Russian (RUSSIAN)	Advanced Russian Conversation and Communication	120A	2
Russian (RUSSIAN)	Advanced Russian Conversation and Communication	120B	2
Russian (RUSSIAN)	Advanced Russian Proficiency Maintenance	201	2
Russian (RUSSIAN)	Advanced Academic Russian	202	3
Russian (RUSSIAN)	Russian Composition and Style	204	4
Telugu (TELUGU)	Elementary Telugu	1A	4
Telugu (TELUGU)	Elementary Telugu	1B	4
Molecular and Cell Biology (MCELLBI)	Current Topics in the Biological Sciences	15	2
Molecular and Cell Biology (MCELLBI)	Big Ideas in Cell Biology	C31	3
Molecular and Cell Biology (MCELLBI)	Introduction to Human Physiology	32	3
